user_profile,a-profile-avatar,user_name,original_comment_link,score,title,product_color,a-link-normal href 2,a-size-mini 3,a-base 3,review-comment-total,a-link-normal,a-link-normal href 3,a-link-normal 2,a-link-normal href 4
https://www.amazon.fr/gp/profile/amzn1.account.AGK7CBNBHKPBHRHSHRXV2ATRHANA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",Monserrat,https://www.amazon.fr/gp/customer-reviews/R23FRENQU6ACHZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"4,0 sur 5 étoiles",Efficace et prometteuse,Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageSize=10,Achat vérifié,25 personnes ont trouvé cela utile,0,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#
https://www.amazon.fr/gp/profile/amzn1.account.AETEMWNRGOT5DB3BDS6ME22AAORA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",Marc,https://www.amazon.fr/gp/customer-reviews/R1YAZ8FNU869C2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"1,0 sur 5 étoiles",Déception totale,Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageSize=10,Achat vérifié,21 personnes ont trouvé cela utile,1,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#
https://www.amazon.fr/gp/profile/amzn1.account.AEHDBPQNNDKVPTVVT2H5YBU6ARWA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/9127ac01-f21c-4246-b4da-17c2da097939._CR0,0,483,483_SX48_.jpg"">",Pierre B,https://www.amazon.fr/gp/customer-reviews/R34WI69M79U128/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"3,0 sur 5 étoiles",Faut lui apprendre les synonymes !,Couleur: Tissu gris chinéConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageSize=10,Achat vérifié,15 personnes ont trouvé cela utile,2,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#
https://www.amazon.fr/gp/profile/amzn1.account.AG6AWQU5UJY5EOBCGBIRZ36OPIUQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",Geoff,https://www.amazon.fr/gp/customer-reviews/RNOKN9V7W1RVU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"5,0 sur 5 étoiles",Un gros kiff,Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageSize=10,Achat vérifié,15 personnes ont trouvé cela utile,0,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#
https://www.amazon.fr/gp/profile/amzn1.account.AG4VKBIPIMLWXJBRTTPMEM5M4PJQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",David,https://www.amazon.fr/gp/customer-reviews/R1UNWH9PYCEKCY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"2,0 sur 5 étoiles",Très limité,Couleur: Tissu gris chinéConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageSize=10,Achat vérifié,13 personnes ont trouvé cela utile,1,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#
https://www.amazon.fr/gp/profile/amzn1.account.AHXI542SWNA3EY56HAVUVZFFHEXQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/b9b8e63a-3484-4109-ad4d-d15e5a1f37af._CR0,0,407,407_SX48_.jpg"">",Bruno Bozon,https://www.amazon.fr/gp/customer-reviews/R2WERBF9N9K4QH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"4,0 sur 5 étoiles",Une A(m)I bien sympathique,Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageSize=10,Achat vérifié,10 personnes ont trouvé cela utile,0,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#
https://www.amazon.fr/gp/profile/amzn1.account.AGFYXEJEOKEZXYQ22NHJGHBKVADA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/b740d052-6490-4e16-904c-df9fa6e68de8._CR0,0,500,500_SX48_.jpg"">",Chez DODGSON,https://www.amazon.fr/gp/customer-reviews/R2Y60QA34VXTD2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"4,0 sur 5 étoiles",Un bon début,Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageSize=10,Achat vérifié,12 personnes ont trouvé cela utile,0,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#
https://www.amazon.fr/gp/profile/amzn1.account.AGUOQI6I5ZCI4AI7SMDH4F5UY7KQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",FlorianMDLF,https://www.amazon.fr/gp/customer-reviews/R39S08PLJFANK6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"3,0 sur 5 étoiles",Préférez un google home,Couleur: Tissu gris chinéConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageSize=10,Achat vérifié,11 personnes ont trouvé cela utile,0,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_arp_d_paging_btm_next_2?showViewpoints=1&pageNumber=2#
https://www.amazon.fr/gp/profile/amzn1.account.AFGYVGMLSSELWJGVJNXBUW7SLLZQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png"">",Brigitte CLAUZEL,https://www.amazon.fr/gp/customer-reviews/R1QJO3EKWXINTS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"5,0 sur 5 étoiles",Excellent!,Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageSize=10,Achat vérifié,11 personnes ont trouvé cela utile,0,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_paging_btm_next_3?showViewpoints=1&pageNumber=3#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_paging_btm_next_3?showViewpoints=1&pageNumber=3#
https://www.amazon.fr/gp/profile/amzn1.account.AH47AC2ZMSXVDUYY4KEO6W6Q2EHQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,"<img src=""https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/330300a6-de75-4b8f-85e9-5b31371d249f._CR87,0,326,326_SX48_.jpg"">",Rèdge,https://www.amazon.fr/gp/customer-reviews/R1WJFX1JZBVD6P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B079PNT5TK,"5,0 sur 5 étoiles",Enfin la synchronisation avec l'agenda!!!,Couleur: Tissu anthraciteConfiguration: Amazon Echo,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_rvw_rvwer?ie=UTF8&reviewerType=avp_only_reviews&pageSize=10,Achat vérifié,11 personnes ont trouvé cela utile,0,Le plus récent,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_paging_btm_next_3?showViewpoints=1&pageNumber=3#,Le plus ancien,https://www.amazon.fr/Amazon-g%C3%A9n%C3%A9ration-Enceinte-connect%C3%A9e-anthracite/product-reviews/B079PNT5TK/ref=cm_cr_getr_d_paging_btm_next_3?showViewpoints=1&pageNumber=3#
